"chipType" "CHRO" "chr_start" "chr_end" "probes"
"1" "GenomeWideSNP_6" 1 61736 248930190 146458
"2" "GenomeWideSNP_6" 2 12785 242147306 153641
"3" "GenomeWideSNP_6" 3 18668 198169248 127775
"4" "GenomeWideSNP_6" 4 12282 190106769 120349
"5" "GenomeWideSNP_6" 5 15533 181363320 115708
"6" "GenomeWideSNP_6" 6 149662 170741918 112818
"7" "GenomeWideSNP_6" 7 43259 159334315 100828
"8" "GenomeWideSNP_6" 8 81255 145072770 98273
"9" "GenomeWideSNP_6" 9 46431 138200945 82010
"10" "GenomeWideSNP_6" 10 26824 133769380 93604
"11" "GenomeWideSNP_6" 11 198510 135074876 89051
"12" "GenomeWideSNP_6" 12 45277 133201604 87335
"13" "GenomeWideSNP_6" 13 18452810 114342923 66089
"14" "GenomeWideSNP_6" 14 18225648 106877229 57118
"15" "GenomeWideSNP_6" 15 19811076 101928838 53554
"16" "GenomeWideSNP_6" 16 10778 90221128 54181
"17" "GenomeWideSNP_6" 17 150734 83091522 46590
"18" "GenomeWideSNP_6" 18 11543 80257174 52103
"19" "GenomeWideSNP_6" 19 90911 58586488 30362
"20" "GenomeWideSNP_6" 20 80665 64324801 43647
"21" "GenomeWideSNP_6" 21 10775583 46677046 25091
"22" "GenomeWideSNP_6" 22 265246 50796028 3113
"23" "GenomeWideSNP_6" 23 251811 156009771 87100
